player,team,league,position,nationality,secondNationality,active,dataset,age,elo,market_value,minutes,goals,assists,xg,shots
 H. Janan Allah, Olympique Dcheïra,Botola, LB,Morocco,,yes,Botola,25,41,0.048,,,,,
 H. Doughmi, Yacoub El Mansour,Botola, GK,Morocco,,yes,Botola,25,44,0.341,,,,,
 I. Khannouss, Olympic Safi,Botola, LW,Morocco,,yes,Botola,33,48,0.106,,,,,
 A. El Hamdaoui, Kawkab Marrakech,Botola, CB,Morocco,,yes,Botola,30,40,0.108,,,,,
 A. Ennakouss, Difaâ El Jadida,Botola, ST,Morocco,,yes,Botola,24,43,0.412,,,,,
 Abdellah Farah, Renaissance Zemamra,Botola, RW,Morocco,,yes,Botola,24,46,0.458,,,,,
 Aziz Kaidi, Hassania Agadir,Botola, LW,Morocco,,yes,Botola,29,45,0.444,,,,,
 Mohamed Jemjami, Kawkab Marrakech,Botola, GK,Morocco,,yes,Botola,26,38,0.011,,,,,
 Y. Lamine, Difaâ El Jadida,Botola, LW,Morocco,,yes,Botola,26,45,0.18,,,,,
 Anas Nanah, UTS Rabat,Botola, LB,Morocco,,yes,Botola,22,45,0.415,,,,,
 F. Bendahmane, Hassania Agadir,Botola, ST,Morocco,,yes,Botola,24,50,1.291,,,,,
 A. Soufeir, Olympic Safi,Botola, RB,Morocco,,yes,Botola,24,42,0.124,,,,,
 Y. Zraa, UTS Rabat,Botola, ST,Morocco,,yes,Botola,25,38,0.143,,,,,
 Y. Morsil, Yacoub El Mansour,Botola, RB,Morocco,,yes,Botola,28,39,0.12,,,,,
 M. El Badoui, Yacoub El Mansour,Botola, ST,Morocco,,yes,Botola,26,47,0.817,,,,,
 M. Elabdi, Kawkab Marrakech,Botola, LB,Morocco,,yes,Botola,28,37,0.022,,,,,
 B. Soufi, Renaissance Zemamra,Botola, CB,Morocco,,yes,Botola,27,45,0.244,,,,,
 Y. Laghzal, Ittihad Tanger,Botola, GK,Morocco,,yes,Botola,25,37,0.038,,,,,
 Mohamed Essahel, UTS Rabat,Botola, CM,Morocco,,yes,Botola,21,39,0.001,,,,,
 N. Moustaghfir, UTS Rabat,Botola, ST,Morocco,,yes,Botola,22,39,0.092,,,,,
 A. Brayim, Hassania Agadir,Botola, CM,Morocco,,yes,Botola,22,45,0.016,,,,,
 M. Balouk, Yacoub El Mansour,Botola, ST,Morocco,,yes,Botola,30,42,0.005,,,,,
 M. Katiba, Hassania Agadir,Botola, DM,Morocco,,yes,Botola,20,48,0.77,,,,,
 T. Benrhozil, FUS Rabat,Botola, GK,Morocco,,yes,Botola,19,47,0.088,,,,,
 A. Maâli, Ittihad Tanger,Botola, RW,Morocco,,yes,Botola,19,49,1.471,,,,,
 Khalid Kasbi, UTS Rabat,Botola, CB,Morocco,,yes,Botola,19,37,0.036,,,,,
 A. El Hamzaoui, Renaissance Zemamra,Botola, ST,Morocco,,yes,Botola,33,46,0.102,,,,,
 S. Zamrat, UTS Rabat,Botola, RM,Morocco,,yes,Botola,23,39,0.222,,,,,
 A. El Maswab, RS Berkane,Botola, CB,Morocco,,yes,Botola,25,40,0.141,,,,,
 Zakaria Fatihi, Renaissance Zemamra,Botola, RW,Morocco,,yes,Botola,27,43,0.144,,,,,
 M. Habbali, Olympique Dcheïra,Botola, RW,Morocco,,yes,Botola,33,49,0.001,,,,,
 A. El Ghannouj, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola,29,48,0.176,,,,,
 Y. Sakhi, COD Meknes,Botola, RW,Morocco,,yes,Botola,26,46,0.393,,,,,
 Z. Ami, Hassania Agadir,Botola, DM,Morocco,,yes,Botola,23,48,0.667,,,,,
 H. Brahim, Olympique Dcheïra,Botola, RB,Morocco,,yes,Botola,29,48,0.052,,,,,
 Y. Dalouzi, Maghreb Fes,Botola, RW,Morocco,,yes,Botola,23,41,0.335,,,,,
 I. Hrila, Hassania Agadir,Botola, CB,Morocco,,yes,Botola,22,38,0.076,,,,,
 Mehdi Akoumi, Hassania Agadir,Botola, CM,Morocco,,yes,Botola,19,39,0.022,,,,,
 A. El Houari, Olympic Safi,Botola, CAM,Morocco,,yes,Botola,22,43,0.406,,,,,
 Yasser Ezzine, Olympic Safi,Botola, LB,Morocco,,yes,Botola,21,38,0.29,,,,,
 A. Benkassou, COD Meknes,Botola, RW,Morocco,,yes,Botola,23,38,0.228,,,,,
 Reda Abardi, Olympique Dcheïra,Botola, ST,Morocco,,yes,Botola,33,44,0.011,,,,,
 Y. Fatine, Difaâ El Jadida,Botola, CB,Morocco,,yes,Botola,29,49,0.298,,,,,
 A. Ziani, Difaâ El Jadida,Botola, LW,Morocco,,yes,Botola,22,43,0.001,,,,,
 B. Ait Hammou, Olympique Dcheïra,Botola, ST,Morocco,,yes,Botola,27,38,0.03,,,,,
 B. Amzili, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola,32,45,0.024,,,,,
 H. Saoud, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola,29,44,0.046,,,,,
 M. Idar, Olympique Dcheïra,Botola, GK,Morocco,,yes,Botola,40,45,0.001,,,,,
 A. El Khaffi, Difaâ El Jadida,Botola, CM,Morocco,,yes,Botola,26,39,0.007,,,,,
 Y. Faffa, Renaissance Zemamra,Botola, RW,Morocco,,yes,Botola,25,48,0.256,,,,,
 R. Mennioui, Kawkab Marrakech,Botola, CB,Morocco,,yes,Botola,26,43,0.032,,,,,
 S. Abaaziz, Difaâ El Jadida,Botola, LB,Morocco,,yes,Botola,28,43,0.187,,,,,
 Z. Ajoughlal, Yacoub El Mansour,Botola, CAM,Morocco,,yes,Botola,25,37,0.139,,,,,
 R. Oubidar, Olympique Dcheïra,Botola, CM,Morocco,,yes,Botola,27,43,0.014,,,,,
 Zouhir Eddib, COD Meknes,Botola, ST,Morocco,,yes,Botola,23,48,0.524,,,,,
 Marouane Oujeddou, Renaissance Zemamra,Botola, RW,Morocco,,yes,Botola,22,41,0.051,,,,,
 Yassine Jabrane, Olympique Dcheïra,Botola, LW,Morocco,,yes,Botola,25,38,0.003,,,,,
 Ahmed Rhailouf, SCC Mohammédia,Botola, ST,Morocco,,yes,Botola,21,44,0.202,,,,,
 Abdellatif El Bajjani, Renaissance Zemamra,Botola, CM,Morocco,,yes,Botola,31,45,0.097,,,,,
 Hamza Momadi, Hassania Agadir,Botola, CM,Morocco,,yes,Botola,20,38,0.02,,,,,
 K. Tamrani, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola,25,44,0.041,,,,,
 Z. Oubraim, Difaâ El Jadida,Botola, RB,Morocco,,yes,Botola,24,44,0.068,,,,,
 Ayoub Ait Khassou, FAR Rabat,Botola, CB,Morocco,,yes,Botola,21,42,0.041,,,,,
 A. Tarrazi, Hassania Agadir,Botola, RB,Morocco,,yes,Botola,20,44,0.272,,,,,
 Reda Ait Boughima, Renaissance Zemamra,Botola, CB,Morocco,,yes,Botola,25,42,0.088,,,,,
 J-E. El Khfiyef, FAR Rabat,Botola, CM,Morocco,,yes,Botola,25,40,0.006,,,,,
 Younes El Bahraoui, Kawkab Marrakech,Botola, ST,Morocco,,yes,Botola,21,41,0.017,,,,,
 Adil Khalloufi, Yacoub El Mansour,Botola, DM,Morocco,,yes,Botola,26,38,0.001,,,,,
 Adam Brika, Maghreb Fes,Botola, CM,Morocco,,yes,Botola,20,45,0.007,,,,,
 Ameur Aboujemaa, Olympique Dcheïra,Botola, CB,Morocco,,yes,Botola,21,40,0.005,,,,,
 Amine Aghou, Olympique Dcheïra,Botola, ST,Morocco,,yes,Botola,27,38,0.104,,,,,
 B. Mansouri, Yacoub El Mansour,Botola, LW,Morocco,,yes,Botola,30,41,0.003,,,,,
 Achraf Zine, Yacoub El Mansour,Botola, CB,Morocco,,yes,Botola,25,39,0.005,,,,,
 Nassim Azzoubairi, Yacoub El Mansour,Botola, LB,Morocco,,yes,Botola,30,39,0.006,,,,,
 Ismail Sayad, Yacoub El Mansour,Botola, GK,Morocco,,yes,Botola,27,39,0.006,,,,,
 Hamza Fassoukh, Kawkab Marrakech,Botola, LB,Morocco,,yes,Botola,27,37,0.011,,,,,
Kamal, Deportiva Minera,Botola, CM,Morocco,,yes,Botola,33,52,0.101,,,,,
 A. Otegui, Inter Escaldes,Botola, CM,Morocco,,yes,Botola,27,55,0.326,,,,,
 Samy Bourard, Manama,Botola, CM,Morocco,,yes,Botola,29,58,1.781,,,,,
 D. Trichard, Girondins Bordeaux,Botola, LB,Morocco,,yes,Botola,30,55,0.098,,,,,
 Z. Hamlili, Livorno,Botola, DM,Morocco,,yes,Botola,34,54,0.059,,,,,
 F. Kasmi, Dessel Sport,Botola, CM,Morocco,,yes,Botola,30,52,0.175,,,,,
 R. Hayef, Biesheim,Botola, RW,Morocco,,yes,Botola,33,51,0.024,,,,,
 A. El Hriti, Una Strassen,Botola, LB,Morocco,,yes,Botola,36,51,0.035,,,,,
 Z. Belkouche, Creteil,Botola, CB,Morocco,,yes,Botola,33,53,0.045,,,,,
 J. Absisan, Crossing Schaerbeek,Botola, CM,Morocco,,yes,Botola,30,53,0.077,,,,,
 S. El Banaouhi, Heist,Botola, RB,Morocco,,yes,Botola,33,51,0.052,,,,,
 S. Dardouri, Old Boys,Botola, DM,Morocco,,yes,Botola,33,56,0.035,,,,,
 Hakim, CD Illescas,Botola, CM,Morocco,,yes,Botola,29,53,0.169,,,,,
 Y. Gazzaoui, Hyères,Botola, RB,Morocco,,yes,Botola,29,58,0.114,,,,,
 Khalok, Kormákur / Hvöt,Botola, LW,Morocco,,yes,Botola,29,54,0.053,,,,,
 O. El Baad, Lisse,Botola, RB,Morocco,,yes,Botola,30,51,0.067,,,,,
 I. El Omari, Tubize,Botola, ST,Morocco,,yes,Botola,35,55,0.044,,,,,
 A. El Moukhantir, Wiener Neustadt,Botola, CM,Morocco,,yes,Botola,28,55,0.613,,,,,
 A. El Idrissi, Union Titus Pétange,Botola, ST,Morocco,,yes,Botola,28,55,0.796,,,,,
 A. El Azzouti, Spakenburg,Botola, ST,Morocco,,yes,Botola,35,57,0.041,,,,,
 M. Bounou, Sporting Hasselt,Botola, RW,Morocco,,yes,Botola,28,56,0.196,,,,,
 A. El Bouchataoui, Pro Vercelli,Botola, DM,Morocco,,yes,Botola,26,54,0.472,,,,,
 M. Mallahi, Pro Vercelli,Botola, RW,Morocco,,yes,Botola,26,51,0.379,,,,,
 M. Talal, Jamshedpur,Botola, CAM,Morocco,,yes,Botola,28,53,1.11,,,,,
 S. Hamard, Granville,Botola, CAM,Morocco,,yes,Botola,28,51,0.079,,,,,
 A. Baalla, -,Botola, CAM,Morocco,,yes,Botola,29,51,0.06,,,,,
 E. Madihi, FCSR Haguenau,Botola, CM,Morocco,,yes,Botola,31,52,0.051,,,,,
 H. Salhi, FCSR Haguenau,Botola, CB,Morocco,,yes,Botola,31,52,0.041,,,,,
 M. El Idrissy, Troyes,Botola, ST,Morocco,,yes,Botola,27,56,0.861,,,,,
 J. Assehnoun, Omonia Aradippou,Botola, LW,Morocco,,yes,Botola,27,53,1.72,,,,,
 Y. Chah, Feignies,Botola, CM,Morocco,,yes,Botola,26,55,0.114,,,,,
 M. Afaker, Dordrecht,Botola, LW,Morocco,,yes,Botola,26,56,0.66,,,,,
 Zakaria Sdaigui, USD Antella '99,Botola, CM,Morocco,,yes,Botola,25,52,0.298,,,,,
 Y. Ben Balla, Schalke 04 II,Botola, DM,Morocco,,yes,Botola,30,56,0.338,,,,,
 Zakaria Hamadi, Maghreb Fes,Botola, LB,Morocco,,yes,Botola,27,56,0.869,,,,,
 B. El Hajjam, Lusitanos de Saint-Maur,Botola, RW,Morocco,,yes,Botola,28,53,0.064,,,,,
 R. Kaddouri, FC 93,Botola, DM,Morocco,,yes,Botola,29,54,0.111,,,,,
 A. Chakir, Ascoli,Botola, ST,Morocco,,yes,Botola,25,58,0.481,,,,,
 T. Bouchlarhem, Etoile Carouge,Botola, LW,Morocco,,yes,Botola,25,55,2.914,,,,,
 Karim, FC La Unión Atlético,Botola, RW,Morocco,,yes,Botola,27,58,0.368,,,,,
 R. Hazzat, De Treffers,Botola, RM,Morocco,,yes,Botola,28,52,0.001,,,,,
 Hamza Boutakhrit, Bayern Alzenau,Botola, CB,Morocco,,yes,Botola,32,53,0.085,,,,,
 Bilal Erradi, Potenza Calcio,Botola, CM,Morocco,,yes,Botola,25,58,0.43,,,,,
 Ismail Harnafi, FSV Frankfurt,Botola, ST,Morocco,,yes,Botola,24,52,0.13,,,,,
 Nadir Achahbar, Sportlust 46,Botola, CB,Morocco,,yes,Botola,26,53,0.066,,,,,
 Rayan El Azrak, Shaanxi Union,Botola, CM,Morocco,,yes,Botola,26,58,0.606,,,,,
 Anas Kharmoud, Pistoiese,Botola, RM,Morocco,,yes,Botola,25,53,0.154,,,,,
 Rachid Erragui, Mamer,Botola, DM,Morocco,,yes,Botola,33,54,0.152,,,,,
 W. Essafiani, Rumilly Vallières,Botola, DM,Morocco,,yes,Botola,26,52,0.072,,,,,
 H. Touati, Oleksandriya,Botola, RW,Morocco,,yes,Botola,24,53,1.015,,,,,
 Sofiane, AD Mérida,Botola, ST,Morocco,,yes,Botola,25,57,0.42,,,,,
 J. Moustaid, Thionville Lusitanos,Botola, CAM,Morocco,,yes,Botola,24,56,0.128,,,,,
 Aness Serghini, BVV Barendrecht,Botola, LW,Morocco,,yes,Botola,24,56,0.311,,,,,
 R. Akmum, Den Bosch,Botola, CB,Morocco,,yes,Botola,24,58,0.318,,,,,
 Salah Oulad M'hand, Riga FC,Botola, CM,Morocco,,yes,Botola,22,53,0.395,,,,,
 I. Faiz, Al Nasr Dubai,Botola, CAM,Morocco,,yes,Botola,25,57,1.99,,,,,
 J. Mouaddib, Omonia Aradippou,Botola, CAM,Morocco,,yes,Botola,25,53,0.678,,,,,
 A. Lemti, Rupel Boom,Botola, RWB,Morocco,,yes,Botola,25,53,0.063,,,,,
 O. Lahri, Koninklijke HFC,Botola, CM,Morocco,,yes,Botola,27,52,0.185,,,,,
 A. Dihad, Istres,Botola, CB,Morocco,,yes,Botola,23,55,0.165,,,,,
 L. Zakary, Hassania Agadir,Botola, CB,Morocco,,yes,Botola,22,52,0.324,,,,,
 N. Chourak, Kalmar FF,Botola, CM,Morocco,,yes,Botola,21,53,0.648,,,,,
 A. Lambarette, Avranches,Botola, RW,Morocco,,yes,Botola,28,55,0.072,,,,,
 C. El Allachi, De Graafschap,Botola, LW,Morocco,,yes,Botola,21,52,0.068,,,,,
 Jawed Kalai, Versailles,Botola, RW,Morocco,,yes,Botola,25,52,0.177,,,,,
 Y. Chahid, Chateauroux,Botola, DM,Morocco,,yes,Botola,21,57,0.675,,,,,
 O. Agougil, Utrecht,Botola, DM,Morocco,,yes,Botola,20,55,0.743,,,,,
 Othmane Salama, Lunds,Botola, LW,Morocco,,yes,Botola,25,56,0.342,,,,,
 Z. Jaouhari, Pergolettese,Botola, CM,Morocco,,yes,Botola,23,52,0.373,,,,,
 Simo, Al Shahaniya,Botola, RB,Morocco,,yes,Botola,22,52,0.79,,,,,
 H. Bouihrouchane, Hoek,Botola, DM,Morocco,,yes,Botola,23,54,0.097,,,,,
 N. El Abd, FAR Rabat,Botola, CB,Morocco,,yes,Botola,25,54,0.481,,,,,
 K. Noureddine, CE Europa,Botola, ST,Morocco,,yes,Botola,22,54,0.076,,,,,
 S. Barroug, Saint-Malo,Botola, CAM,Morocco,,yes,Botola,24,58,0.227,,,,,
 Rachad Fettal, RM Castilla,Botola, ST,Morocco,,yes,Botola,21,57,1.006,,,,,
 Riyad Idrissi, Cagliari,Botola, LB,Morocco,,yes,Botola,20,57,1.986,,,,,
 H. El Dahri, Jong Almere City,Botola, CM,Morocco,,yes,Botola,20,52,0.647,,,,,
 N. Sabihi, Villefranche,Botola, LW,Morocco,,yes,Botola,23,52,0.02,,,,,
 M. Bouchenna, Austria Lustenau,Botola, CAM,Morocco,,yes,Botola,19,52,0.169,,,,,
 M. Ghaddari, Jong Utrecht,Botola, RB,Morocco,,yes,Botola,20,53,0.362,,,,,
 Djebril Danhach, Mondercange,Botola, CM,Morocco,,yes,Botola,22,52,0.23,,,,,
 A. Hadji, -,Botola, ST,Morocco,,yes,Botola,28,54,0.77,,,,,
 Samuel Juel, Skive,Botola, CB,Morocco,,yes,Botola,20,53,0.216,,,,,
 M. El Adfaoui, KAA Gent,Botola, DM,Morocco,,yes,Botola,18,52,1.424,,,,,
 A. Salama, NAC Breda,Botola, ST,Morocco,,yes,Botola,25,54,1.56,,,,,
 Anis Yadir, De Treffers,Botola, CAM,Morocco,,yes,Botola,21,52,0.077,,,,,
 Z. Bafdili, Sporting CP II,Botola, DM,Morocco,,yes,Botola,18,52,0.389,,,,,
 T. Essakkati, Helmond Sport,Botola, LW,Morocco,,yes,Botola,20,56,0.455,,,,,
 W. Bouziane, Jong AZ,Botola, LW,Morocco,,yes,Botola,19,53,0.657,,,,,
 Nordin Zoufri, Sportlust 46,Botola, RW,Morocco,,yes,Botola,24,55,0.119,,,,,
 M. El Kharbachi, VV Noordwijk,Botola, LW,Morocco,,yes,Botola,25,56,0.214,,,,,
 K. Ben-Kmayal, Anagennisi Karditsas,Botola, LW,Morocco,,yes,Botola,23,57,0.58,,,,,
 M. Oukhattou, Jong Sparta,Botola, CAM,Morocco,,yes,Botola,21,52,0.115,,,,,
 A. Tahaui, Vitesse,Botola, CM,Morocco,,yes,Botola,20,53,0.441,,,,,
 Ayoub Ouarghi, Feyenoord,Botola, LW,Morocco,,yes,Botola,18,52,0.121,,,,,
 C. Belarbi, CS Chênois,Botola, LW,Morocco,,yes,Botola,27,53,0.051,,,,,
 Yassir Salah, Go Ahead Eagles,Botola, CM,Morocco,,yes,Botola,19,52,0.564,,,,,
 Y. Idrissi, Lincoln Red Imps,Botola, RB,Morocco,,yes,Botola,25,53,0.241,,,,,
 M. Khairane, Bettembourg,Botola, CB,Morocco,,yes,Botola,23,53,0.122,,,,,
M. Rayhi, Wydad Casablanca,Botola, LW,Morocco,,yes,Botola,31,63,1.999,,,,,
 A. Zoubir, Qarabağ,Botola, LW,Morocco,,yes,Botola,34,78,0.227,,,,,
 L. Houri, Universitatea Craiova,Botola, CAM,Morocco,,yes,Botola,30,62,2.188,,,,,
 M. Chemlal, Olympic Safi,Botola, CAM,Morocco,,yes,Botola,31,59,1.149,,,,,
 H. Benkaid, Creteil,Botola, ST,Morocco,,yes,Botola,35,63,0.141,,,,,
 M. Elyounoussi, Kobenhavn,Botola, CAM,Morocco,,yes,Botola,31,84,13.023,,,,,
 B. Ould-Chikh, FC Volendam,Botola, RW,Morocco,,yes,Botola,28,60,2.206,,,,,
 R. Aabid, RS Berkane,Botola, CM,Morocco,,yes,Botola,34,62,0.45,,,,,
 Younes Namli, PEC Zwolle,Botola, RW,Morocco,,yes,Botola,31,64,2.633,,,,,
 S. El Moudane, Olympic Safi,Botola, CAM,Morocco,,yes,Botola,31,62,1.48,,,,,
 F. El Khoumisti, Orléans,Botola, ST,Morocco,,yes,Botola,32,68,0.536,,,,,
 A. El-Ghazi, Al-Sailiya,Botola, RW,Morocco,,yes,Botola,30,59,1.596,,,,,
 S. Hadji, Differdange 03,Botola, ST,Morocco,,yes,Botola,36,73,0.383,,,,,
 T. Nouidra, Fola Esch,Botola, DM,Morocco,,yes,Botola,38,59,0.004,,,,,
 M. El Allouchi, Willem II,Botola, CAM,Morocco,,yes,Botola,31,64,0.764,,,,,
 N. Ouammou, Hassania Agadir,Botola, LB,Morocco,,yes,Botola,32,67,0.513,,,,,
 Z. Machach, RS Berkane,Botola, CAM,Morocco,,yes,Botola,30,70,2.663,,,,,
 Karim Rossi, Shamakhi,Botola, ST,Morocco,,yes,Botola,31,66,0.433,,,,,
 Y. Aouladzian, Orléans,Botola, DM,Morocco,,yes,Botola,28,60,0.331,,,,,
 R. Boultam, Olimpija Ljubljana,Botola, CAM,Morocco,,yes,Botola,28,59,0.942,,,,,
 Loïs Openda, Juventus,Botola, ST,Morocco,,yes,Botola,26,86,63.313,,,,,
 I. Alhaft, Bangkok United,Botola, RW,Morocco,,yes,Botola,29,60,0.89,,,,,
 Z. Fdaouch, Nancy,Botola, LW,Morocco,,yes,Botola,28,65,0.909,,,,,
 M. Chouiar, RS Berkane,Botola, LW,Morocco,,yes,Botola,27,76,7.305,,,,,
 S. Jebari, Csikszereda,Botola, LM,Morocco,,yes,Botola,31,59,0.535,,,,,
 Moha Moukhliss, Vizela,Botola, CM,Morocco,,yes,Botola,26,61,0.83,,,,,
 A. Dkidak, IJsselmeervogels,Botola, RW,Morocco,,yes,Botola,25,60,0.396,,,,,
 A. Najah, Al-Orubah FC,Botola, DM,Morocco,,yes,Botola,28,64,1.069,,,,,
 M. Guendouzi, Fenerbahçe,Botola, CM,Morocco,,yes,Botola,26,84,37.383,,,,,
 Imad Faraj, Neftçi,Botola, RW,Morocco,,yes,Botola,27,74,5.933,,,,,
 I. Oulad, Noah,Botola, CAM,Morocco,,yes,Botola,28,70,3.74,,,,,
 A. Ouhafsa, Bavois,Botola, ST,Morocco,,yes,Botola,28,59,0.196,,,,,
 A. El Farissi, US Boulogne,Botola, CAM,Morocco,,yes,Botola,27,61,0.356,,,,,
 H. Mahou, FC Lugano,Botola, RW,Morocco,,yes,Botola,26,65,3.687,,,,,
 Y. Maziz, OH Leuven,Botola, CAM,Morocco,,yes,Botola,27,68,3.258,,,,,
 H. Acheffay, Den Bosch,Botola, LW,Morocco,,yes,Botola,25,60,0.438,,,,,
 A. Lembezat, Dijon FCO,Botola, CAM,Morocco,,yes,Botola,27,61,0.171,,,,,
 Z. Hadji, Al Najma Manama,Botola, ST,Morocco,,yes,Botola,29,62,1.48,,,,,
 O. Boussaid, Aris Thessaloniki,Botola, LW,Morocco,,yes,Botola,25,66,7.043,,,,,
 A. Benchaib, Kauno Žalgiris,Botola, CAM,Morocco,,yes,Botola,27,77,3.237,,,,,
 Y. Daoussi, VPS Vaasa,Botola, RB,Morocco,,yes,Botola,25,62,0.901,,,,,
 A. Absalem, Helmond Sport,Botola, LB,Morocco,,yes,Botola,28,60,0.66,,,,,
 R. El Yaakoubi, -,Botola, CB,Morocco,,yes,Botola,30,61,1.203,,,,,
 A. Drif, Fola Esch,Botola, LW,Morocco,,yes,Botola,33,60,0.223,,,,,
 Ilias Bronkhorst, Excelsior,Botola, RB,Morocco,,yes,Botola,28,68,1.167,,,,,
 Y. Bahassa, Krasava Ypsonas,Botola, CAM,Morocco,,yes,Botola,33,64,0.587,,,,,
 O. El Ghazouani, Sparta Nijkerk,Botola, CM,Morocco,,yes,Botola,28,59,0.217,,,,,
 C. Abbas, Cannes,Botola, RW,Morocco,,yes,Botola,27,62,0.22,,,,,
 A. Boutrah, Bastia,Botola, LW,Morocco,,yes,Botola,25,70,3.077,,,,,
 S. Lahssaini, RAAL La Louviere,Botola, CM,Morocco,,yes,Botola,27,66,1.247,,,,,
 Y. Bouchama, Preußen Münster,Botola, CAM,Morocco,,yes,Botola,28,62,0.558,,,,,
 N. Khali, Wydad Casablanca,Botola, LB,Morocco,,yes,Botola,27,67,1.323,,,,,
 O. Ashley, Salford City,Botola, DM,Morocco,,yes,Botola,26,61,0.352,,,,,
 M. Taabouni, Al-Sailiya,Botola, LW,Morocco,,yes,Botola,23,60,1.685,,,,,
 Y. Zakir, Metaloglobus,Botola, LW,Morocco,,yes,Botola,28,62,0.806,,,,,
 Y. Bakiz, Silkeborg IF,Botola, CAM,Morocco,,yes,Botola,27,76,6.303,,,,,
 W. Ould-Chikh, Heracles,Botola, CAM,Morocco,,yes,Botola,26,60,0.938,,,,,
 W. Jarmouni, Hassania Agadir,Botola, ST,Morocco,,yes,Botola,25,66,2.461,,,,,
 M. Bouchouari, Wydad Casablanca,Botola, RB,Morocco,,yes,Botola,25,63,1.526,,,,,
 S. Allouch, Maghreb Fes,Botola, LW,Morocco,,yes,Botola,24,60,2.458,,,,,
 A. El Hadj, Union Saint-Gilloise,Botola, CAM,Morocco,,yes,Botola,23,78,11.053,,,,,
 O. El Manssouri, Al-Batin,Botola, CAM,Morocco,,yes,Botola,24,62,1.83,,,,,
 Z. Eddahchouri, RC Deportivo,Botola, ST,Morocco,,yes,Botola,25,72,3.19,,,,,
 B. Brahimi, Viborg FF,Botola, RW,Morocco,,yes,Botola,25,65,2.11,,,,,
 M. Sellouki, Stade Lavallois,Botola, CAM,Morocco,,yes,Botola,25,67,1.781,,,,,
 F. Limouri, FC Eindhoven,Botola, CB,Morocco,,yes,Botola,22,63,1.041,,,,,
 Faysal Chouaib, Inter Escaldes,Botola, ST,Morocco,,yes,Botola,26,62,1.497,,,,,
 N. Fatar, US Boulogne,Botola, LW,Morocco,,yes,Botola,24,63,1.137,,,,,
 F. Khatir, Dijon FCO,Botola, LB,Morocco,,yes,Botola,29,63,0.285,,,,,
 A. Abid, Standard de Liège,Botola, RW,Morocco,,yes,Botola,22,71,5.447,,,,,
 S. Ben Seghir, Neuchâtel Xamax,Botola, LW,Morocco,,yes,Botola,23,61,0.786,,,,,
 Younes Ebnoutalib, Eintracht Frankfurt,Botola, ST,Morocco,,yes,Botola,22,60,1.458,,,,,
 Y. El Ouatki, Al Ahly Benghazi,Botola, CM,Morocco,,yes,Botola,27,59,0.742,,,,,
 Y. Gourari Tebaa, Atert Bissen,Botola, GK,Morocco,,yes,Botola,24,61,0.417,,,,,
 M. Rabii, Al-Jazira,Botola, RB,Morocco,,yes,Botola,24,61,1.848,,,,,
 Soufiane El-Faouzi, Schalke 04,Botola, CM,Morocco,,yes,Botola,23,70,3.812,,,,,
 Younes El Hannach, Al-Sadd,Botola, RB,Morocco,,yes,Botola,21,63,2.367,,,,,
 Z. Atteri, KAS Eupen,Botola, ST,Morocco,,yes,Botola,24,63,1.434,,,,,
 Nassim Zoukit, Aarau,Botola, DM,Morocco,,yes,Botola,24,67,1.562,,,,,
 M. Hajij, FC Wil,Botola, ST,Morocco,,yes,Botola,24,66,1.478,,,,,
 M. Ifnaoui, Troyes,Botola, CAM,Morocco,,yes,Botola,27,69,1.717,,,,,
 H. Sbaï, Villefranche,Botola, RB,Morocco,,yes,Botola,26,60,0.27,,,,,
 Sami Ouaissa, NEC Nijmegen,Botola, RM,Morocco,,yes,Botola,21,75,6.528,,,,,
 Aisar, AD Ceuta FC,Botola, CAM,Morocco,,yes,Botola,24,64,1.088,,,,,
 A. Ghailan, CE Europa,Botola, RW,Morocco,,yes,Botola,25,61,0.378,,,,,
 Jawad, Al Shahaniya,Botola, CAM,Morocco,,yes,Botola,23,65,4.656,,,,,
 B. El Bakkali, Dunav Ruse,Botola, RW,Morocco,,yes,Botola,25,62,0.18,,,,,
 Marvel, Leganés,Botola, CB,Morocco,,yes,Botola,23,69,1.819,,,,,
 A. Ayari, BK Olympic,Botola, CAM,Morocco,,yes,Botola,24,59,0.368,,,,,
 A. Lachkar, Willem II,Botola, DM,Morocco,,yes,Botola,22,66,1.606,,,,,
 A. Boudri, Los Angeles FC,Botola, CAM,Morocco,,yes,Botola,21,68,4.945,,,,,
 Nordin Bukala, FC Volendam,Botola, CM,Morocco,,yes,Botola,20,60,0.687,,,,,
 Rayane Bounida, Ajax,Botola, CAM,Morocco,,yes,Botola,20,60,0.95,,,,,
 B. El Kaddouri, Aubagne,Botola, RW,Morocco,,yes,Botola,23,62,0.553,,,,,
 A. Bouaddi, Lille,Botola, CM,Morocco,,yes,Botola,18,71,36.064,,,,,
 Mohamed Salah, Lommel SK,Botola, RW,Morocco,,yes,Botola,21,66,3.155,,,,,
 S. Hetli, SC Telstar,Botola, ST,Morocco,,yes,Botola,24,67,1.084,,,,,
 S. Ben Brahim, Versailles,Botola, RM,Morocco,,yes,Botola,23,60,0.635,,,,,
 T. Habroune, Columbus Crew,Botola, CM,Morocco,,yes,Botola,20,59,1.018,,,,,
